Chalacas crudas,1,3,pieza,90,76,24,1.1,0.2,5.5,0.7,6.8,134.6,17.4,3,257,ND,ND,,,,,,,,,,
Chilacayote crudo,1,150,g,150,135,19,1.6,0.3,3.6,0.4,8.1,9.5,ND,0.8,ND,ND,ND,,,,,,,,,,
Chile chilaca,1,2,pieza,60,50,20,0.8,0.2,3.7,0.5,48.9,89.7,11.6,2,171.4,ND,ND,,,,,,,,,,
Chile chipotle seco,1,2,pieza,10,8,29,1.2,0.5,4.8,0.6,19.3,0,ND,0.5,ND,ND,ND,,,,,,,,,,
Chile costeño,1,4,pieza,64,54,17,0.9,0.1,3.9,1.1,7,135.5,12.4,1.8,182.8,ND,ND,,,,,,,,,,
Chile cristalino,1,4,pieza,64,54,20,0.9,0.1,3.9,1.1,3.5,135.5,12.4,1.8,182.8,ND,ND,,,,,,,,,,
Chile cuaresmeño,1,2,pieza,60,50,16,0.8,0.2,3.7,0.5,4.5,89.7,11.6,2,171.4,ND,ND,,,,,,,,,,
Chile de árbol seco,1,4,pieza,8,7,21,0.9,0.4,4.3,2.1,70.9,3.7,0,0.3,0,ND,ND,,,,,,,,,,
Chile habanero,1,5,pieza,80,67,25,1.5,0.5,3.6,1.1,19.8,63.2,15.5,1.6,228.5,ND,ND,,,,,,,,,,
Chile jalapeño,1,6,pieza,90,78,23,1.1,0.5,4.6,2.2,31.3,34.7,36.8,0.5,168.3,ND,ND,,,,,,,,,,
Chile poblano,1,1/2,pieza,40,32,15,0.8,0.2,3.3,0.1,5.1,116.5,7.4,1.1,108.8,ND,ND,,,,,,,,,,
Chiles secos,1,10,g,10,7,23,0.8,0.7,4.3,0,124.6,5.2,0,0.4,0,ND,ND,,,,,,,,,,
Cilantro picado crudo,1,2,taza,120,120,28,2.6,0.6,4.4,3.4,404.4,32.4,74.4,2.1,625.2,ND,ND,,,,,,,,,,
Clavito (hongo) crudo,1,1,taza,75,71,28,4.3,0.4,3.8,1.1,0,3.8,0,1.5,0,ND,ND,,,,,,,,,,
Col cocida picada,1,1/2,taza,75,75,17,1,0,4.1,1.4,3,28.1,22.5,0.1,147,ND,ND,,,,,,,,,,
Col cruda picada,1,2,taza,140,112,27,1.4,0.2,6,2.6,6.7,47,63.8,0.6,275.2,ND,ND,,,,,,,,,,
